index,axis-0,axis-1,axis-2,axis-3,label
242,2.0,0.0,1774.6505385918877,1040.5840675529462,state2
243,2.0,0.0,1700.810797136742,943.010123487218,state2
244,2.0,0.0,1684.9879953963537,892.9045846426549,state2
245,2.0,0.0,1539.9456461094608,774.2335715897426,state2
246,2.0,0.0,1476.6544391479074,703.030963757995,state2
247,2.0,0.0,1273.595150146257,655.5625585368301,state2
248,2.0,0.0,920.2192446109178,616.0055541858593,state2
249,2.0,0.0,759.3540935836365,660.8368257836261,state2
250,2.0,0.0,714.5228219858695,671.3853602772184,state2
251,2.0,0.0,511.4635329842193,829.6133776811017,state2
252,2.0,0.0,421.8009897886854,935.0987226170238,state2
253,2.0,0.0,379.60685181431654,1014.2127313189654,state2
254,2.0,0.0,361.14691645053017,1061.6811365401304,state2
255,2.0,0.0,295.2185758655788,1201.4492185802274,state2
256,2.0,0.0,284.6700413719866,1293.7488953991592,state2
257,2.0,1.0,247.7501706444138,1314.8459643863434,state2
258,2.0,1.0,239.83876977421966,1407.1456412052753,state2
259,2.0,1.0,292.58144224218074,1715.690275142848,state2
260,2.0,1.0,403.341054424899,1926.660965014692,state2
261,2.0,1.0,519.3749338544135,2047.9691116910026,state2
262,2.0,1.0,616.9488779201415,2132.3573876397404,state2
263,2.0,1.0,835.8309686621801,2203.559995471488,state2
264,2.0,1.0,933.404912727908,2232.5684653288668,state2
265,2.0,1.0,991.4218524426655,2243.1169998224586,state2
266,2.0,1.0,1239.3124130420824,2224.6570644586723,state2
267,2.0,1.0,1418.6374994331502,2169.277258367313,state2
268,2.0,1.0,1830.0303446832468,1792.1671502213912,state2
269,2.0,1.0,1866.9502154108195,1728.875943259838,state2
270,2.0,1.0,1901.2329525149942,1607.5677965835275,state2
271,2.0,1.0,1943.427090489363,1383.4114385946932,state2
